sound.files;equipment;date;time;site
INVEST_0142.wav;Tascam DR-40;20-abr-20;15:49:28;Laguna Hule
INVEST_0147.wav;Tascam DR-40;22-abr-20;15:35:12;Laguna Hule
INVEST_0148.wav;Tascam DR-40;22-abr-20;15:36:08;Laguna Hule
INVEST_0149.wav;Tascam DR-40;24-abr-20;15:11:50;Laguna Hule
INVEST_0150.wav;Tascam DR-40;24-abr-20;15:12:24;Laguna Hule
INVEST_0155.wav;Tascam DR-40;24-abr-20;15:17:08;Laguna Hule
INVEST_0156.wav;Tascam DR-40;24-abr-20;15:20:36;Laguna Hule
INVEST_0175.wav;Tascam DR-40;26-abr-20;15:47:36;Laguna Hule
INVEST_0176.wav;Tascam DR-40;26-abr-20;15:48:20;Laguna Hule
INVEST_0177.wav;Tascam DR-40;26-abr-20;15:48:56;Laguna Hule
INVEST_0178.wav;Tascam DR-40;26-abr-20;15:49:26;Laguna Hule
INVEST_0179.wav;Tascam DR-40;26-abr-20;15:50:16;Laguna Hule
INVEST_0180.wav;Tascam DR-40;26-abr-20;15:50:58;Laguna Hule
INVEST_0182.wav;Tascam DR-40;26-abr-20;15:52:38;Laguna Hule
INVEST_0183.wav;Tascam DR-40;26-abr-20;15:53:14;Laguna Hule
INVEST_0184.wav;Tascam DR-40;26-abr-20;15:53:46;Laguna Hule
INVEST_0186.wav;Tascam DR-40;26-abr-20;15:55:18;Laguna Hule
INVEST_0187.wav;Tascam DR-40;26-abr-20;15:55:42;Laguna Hule
INVEST_0188.wav;Tascam DR-40;26-abr-20;15:56:28;Laguna Hule
INVEST_0189.wav;Tascam DR-40;26-abr-20;15:57:02;Laguna Hule
INVEST_0190.wav;Tascam DR-40;26-abr-20;15:57:48;Laguna Hule
INVEST_0191.wav;Tascam DR-40;26-abr-20;15:58:06;Laguna Hule
INVEST_0192.wav;Tascam DR-40;26-abr-20;15:58:56;Laguna Hule
INVEST_0195.wav;Tascam DR-40;26-abr-20;16:00:24;Laguna Hule
Laborato004.WAV;Tascam DR-40;08-ago-20;06:44:03;Laguna Hule
Laborato006.WAV;Tascam DR-40;08-ago-20;06:45:02;Laguna Hule
Laborato007.WAV;Tascam DR-40;08-ago-20;06:45:42;Laguna Hule
Laborato009.WAV;Tascam DR-40;08-ago-20;06:46:56;Laguna Hule
Laborato010.WAV;Tascam DR-40;08-ago-20;06:47:44;Laguna Hule
Laborato011.WAV;Tascam DR-40;08-ago-20;06:48:24;Laguna Hule
Laborato012.WAV;Tascam DR-40;08-ago-20;06:49:16;Laguna Hule
Laborato013.WAV;Tascam DR-40;08-ago-20;06:49:50;Laguna Hule
Laborato014.WAV;Tascam DR-40;08-ago-20;06:50:20;Laguna Hule
Laborato016.WAV;Tascam DR-40;08-ago-20;06:51:54;Laguna Hule
Laborato020.WAV;Tascam DR-40;08-ago-20;06:53:58;Laguna Hule
Laborato026.WAV;Tascam DR-40;08-ago-20;06:59:22;Laguna Hule
Nueva-grabaci?³n-3.wav;iPhone SE;05-jul-20;14:01:00;Laguna Hule
Nueva-grabaci?³n-4.wav;iPhone SE;05-jul-20;14:03:00;Laguna Hule
Nueva-grabaci?³n-5.wav;iPhone SE;05-jul-20;14:04:00;Laguna Hule
