Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Vocalization	Song
1	Spectrogram 1	1	0.203645790	0.501281945	1383.4	2431.4	Procnias-tricarunculatus-434702.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434702.wav	0.2036	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	
2	Spectrogram 1	1	0.689262674	0.955568707	1509.1	1844.5	Procnias-tricarunculatus-434702.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434702.wav	0.6893	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	
3	Spectrogram 1	1	1.566506077	1.801481989	1928.3	2599.0	Procnias-tricarunculatus-434702.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434702.wav	1.5665	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	
4	Spectrogram 1	1	1.958132597	2.255768751	1593.0	1844.5	Procnias-tricarunculatus-434702.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434702.wav	1.9581	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	
5	Spectrogram 1	1	2.772715757	3.148677215	2054.1	2473.3	Procnias-tricarunculatus-434702.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434702.wav	2.7727	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	
6	Spectrogram 1	1	3.320992884	3.728284464	1886.4	2473.3	Procnias-tricarunculatus-434702.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434702.wav	3.3210	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	
7	Spectrogram 1	1	3.994590497	4.339221834	1970.2	2473.3	Procnias-tricarunculatus-434702.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434702.wav	3.9946	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	
8	Spectrogram 1	1	4.339221834	4.636857989	1467.2	1928.3	Procnias-tricarunculatus-434702.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434702.wav	4.3392	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	
9	Spectrogram 1	1	5.232130298	5.514101392	1551.0	2389.4	Procnias-tricarunculatus-434702.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434702.wav	5.2321	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	
10	Spectrogram 1	1	5.686417060	6.078043580	1718.7	2473.3	Procnias-tricarunculatus-434702.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434702.wav	5.6864	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	
11	Spectrogram 1	1	7.597554475	8.020511115	1928.3	2473.3	Procnias-tricarunculatus-434702.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434702.wav	7.5976	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	
12	Spectrogram 1	1	8.224156906	8.662778607	1928.3	2515.2	Procnias-tricarunculatus-434702.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434702.wav	8.2242	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	
13	Spectrogram 1	1	8.913419580	9.383371403	1551.0	2473.3	Procnias-tricarunculatus-434702.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434702.wav	8.9134	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	
14	Spectrogram 1	1	11.889781126	12.046431734	2096.0	2431.4	Procnias-tricarunculatus-434702.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434702.wav	11.8898	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	
