Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Vocalization	Song
1	Spectrogram 1	1	0.319291539	0.528482548	1215.7	2305.6	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	0.3193	Ramphastos sulfuratus	Ramphastos sulfuratus		1
2	Spectrogram 1	1	0.704643397	0.880804246	1131.8	2012.2	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	0.7046	Ramphastos sulfuratus	Ramphastos sulfuratus		1
3	Spectrogram 1	1	1.012924883	1.178075679	1299.5	2137.9	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	1.0129	Ramphastos sulfuratus	Ramphastos sulfuratus		1
4	Spectrogram 1	1	1.332216422	1.541407431	1173.8	1970.2	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	1.3322	Ramphastos sulfuratus	Ramphastos sulfuratus		1
5	Spectrogram 1	1	1.783628598	1.893729129	1299.5	2012.2	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	1.7836	Ramphastos sulfuratus	Ramphastos sulfuratus		1
6	Spectrogram 1	1	2.554332314	2.763523322	1257.6	2137.9	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	2.5543	Ramphastos sulfuratus	Ramphastos sulfuratus		1
7	Spectrogram 1	1	3.247965658	3.413116454	1257.6	2096.0	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	3.2480	Ramphastos sulfuratus	Ramphastos sulfuratus		1
8	Spectrogram 1	1	3.919578895	4.117759851	1299.5	2137.9	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	3.9196	Ramphastos sulfuratus	Ramphastos sulfuratus		1
9	Spectrogram 1	1	4.624222292	4.811393194	1383.4	2221.8	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	4.6242	Ramphastos sulfuratus	Ramphastos sulfuratus		1
10	Spectrogram 1	1	5.284825477	5.494016485	1341.4	2305.6	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	5.2848	Ramphastos sulfuratus	Ramphastos sulfuratus		1
11	Spectrogram 1	1	5.879368343	6.088559351	1341.4	2012.2	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	5.8794	Ramphastos sulfuratus	Ramphastos sulfuratus		1
12	Spectrogram 1	1	6.584011740	6.760172589	1383.4	2263.7	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	6.5840	Ramphastos sulfuratus	Ramphastos sulfuratus		1
13	Spectrogram 1	1	6.991383703	7.255624977	1341.4	1970.2	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	6.9914	Ramphastos sulfuratus	Ramphastos sulfuratus		1
14	Spectrogram 1	1	7.674006994	7.872187950	1425.3	2096.0	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	7.6740	Ramphastos sulfuratus	Ramphastos sulfuratus		1
15	Spectrogram 1	1	8.345620232	8.620871559	1341.4	1970.2	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	8.3456	Ramphastos sulfuratus	Ramphastos sulfuratus		1
16	Spectrogram 1	1	9.677836654	9.809957291	1341.4	2054.1	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	9.6778	Ramphastos sulfuratus	Ramphastos sulfuratus		1
17	Spectrogram 1	1	9.920057822	10.107228724	1383.4	1928.3	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	9.9201	Ramphastos sulfuratus	Ramphastos sulfuratus		1
18	Spectrogram 1	1	10.338439839	10.503590635	1257.6	2054.1	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	10.3384	Ramphastos sulfuratus	Ramphastos sulfuratus		1
19	Spectrogram 1	1	10.635711272	10.833892227	1257.6	2054.1	Ramphastos-sulfuratus-141366.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-141366.wav	10.6357	Ramphastos sulfuratus	Ramphastos sulfuratus		1
