Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Vocalization	Song
1	Spectrogram 1	1	6.768200000	7.047280910	3832.700	5225.800	INVEST_0177.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\26-04-2020\Audios\INVEST_0177.wav	6.7682	Focal	Pteroglossus torquatus		1
2	Spectrogram 1	1	7.573200000	7.862453927	4288.973	5496.800	INVEST_0177.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\26-04-2020\Audios\INVEST_0177.wav	7.5732	Focal	Pteroglossus torquatus		1
3	Spectrogram 1	1	8.256900000	8.546153927	3832.700	4882.129	INVEST_0177.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\26-04-2020\Audios\INVEST_0177.wav	8.2569	Focal	Pteroglossus torquatus		1
4	Spectrogram 1	1	12.201300000	12.532320057	1122.600	2326.996	INVEST_0177.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\26-04-2020\Audios\INVEST_0177.wav	12.2013	Focal	Ramphastos sulfuratus		2
5	Spectrogram 1	1	12.806100000	13.174241362	1006.500	2372.624	INVEST_0177.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\26-04-2020\Audios\INVEST_0177.wav	12.8061	Focal	Ramphastos sulfuratus		2
6	Spectrogram 1	1	13.358300000	13.726441361	1045.200	2372.624	INVEST_0177.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\26-04-2020\Audios\INVEST_0177.wav	13.3583	Focal	Ramphastos sulfuratus		2
7	Spectrogram 1	1	14.094600000	14.383853928	1161.300	2737.643	INVEST_0177.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\26-04-2020\Audios\INVEST_0177.wav	14.0946	Focal	Ramphastos sulfuratus		2
8	Spectrogram 1	1	14.699400000	14.962358116	1161.300	2463.878	INVEST_0177.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\26-04-2020\Audios\INVEST_0177.wav	14.6994	Focal	Ramphastos sulfuratus		2
9	Spectrogram 1	1	15.284224165	15.514562304	1186.312	2555.133	INVEST_0177.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\26-04-2020\Audios\INVEST_0177.wav	15.2842	Focal	Ramphastos sulfuratus		2
10	Spectrogram 1	1	15.935300000	16.145666492	1006.500	2372.624	INVEST_0177.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\26-04-2020\Audios\INVEST_0177.wav	15.9353	Focal	Ramphastos sulfuratus		2
