Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Vocalization	Song
1	Spectrogram 1	1	10.100200000	10.348275253	1006.100	1467.200	Procnias-tricarunculatus-163238.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-163238.wav	10.1002	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	1
2	Spectrogram 1	1	30.136000000	30.809347116	2892.500	3227.900	Procnias-tricarunculatus-163238.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-163238.wav	30.1360	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	2
3	Spectrogram 1	1	32.368700000	33.059766777	2892.500	3185.900	Procnias-tricarunculatus-163238.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-163238.wav	32.3687	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	2
4	Spectrogram 1	1	34.441900000	35.008929150	2892.500	3185.900	Procnias-tricarunculatus-163238.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-163238.wav	34.4419	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	2
5	Spectrogram 1	1	44.604400000	44.819302399	1048.000	1467.200	Procnias-tricarunculatus-163238.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-163238.wav	44.6044	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	2
6	Spectrogram 1	1	62.769300000	62.981935931	1006.100	1509.100	Procnias-tricarunculatus-163238.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-163238.wav	62.7693	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	3
7	Spectrogram 1	1	64.775200000	65.147312880	2179.800	2724.800	Procnias-tricarunculatus-163238.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-163238.wav	64.7752	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	3
8	Spectrogram 1	1	66.618000000	67.379945420	2892.500	3185.900	Procnias-tricarunculatus-163238.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-163238.wav	66.6180	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	3
9	Spectrogram 1	1	68.992500000	69.364612879	2179.800	2599.000	Procnias-tricarunculatus-163238.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-163238.wav	68.9925	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	3
10	Spectrogram 1	1	80.321600000	80.543095762	1069.000	1467.200	Procnias-tricarunculatus-163238.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-163238.wav	80.3216	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	4
