Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Vocalization	Song
1	Spectrogram 1	1	1.331188940	1.562700060	1380.5	2159.3	DSCN7212.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\31-03-2020\Audios\DSCN7212.wav	1.3312	Ramphastos sulfuratus	Ramphastos sulfuratus		1
2	Spectrogram 1	1	1.881027850	2.213825085	1380.5	2230.1	DSCN7212.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\31-03-2020\Audios\DSCN7212.wav	1.8810	Ramphastos sulfuratus	Ramphastos sulfuratus		1
3	Spectrogram 1	1	3.660769586	3.921219596	1451.3	2053.1	DSCN7212.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\31-03-2020\Audios\DSCN7212.wav	3.6608	Ramphastos sulfuratus	Ramphastos sulfuratus		1
4	Spectrogram 1	1	4.210608496	4.514466841	1451.3	2300.9	DSCN7212.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\31-03-2020\Audios\DSCN7212.wav	4.2106	Ramphastos sulfuratus	Ramphastos sulfuratus		1
5	Spectrogram 1	1	4.847264076	5.093244641	1451.3	2230.1	DSCN7212.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\31-03-2020\Audios\DSCN7212.wav	4.8473	Ramphastos sulfuratus	Ramphastos sulfuratus		1
6	Spectrogram 1	1	5.368164096	5.700961331	1415.9	2088.5	DSCN7212.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\31-03-2020\Audios\DSCN7212.wav	5.3682	Ramphastos sulfuratus	Ramphastos sulfuratus		1
7	Spectrogram 1	1	6.496780806	6.800639151	1451.3	2230.1	DSCN7212.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\31-03-2020\Audios\DSCN7212.wav	6.4968	Ramphastos sulfuratus	Ramphastos sulfuratus		1
8	Spectrogram 1	1	8.290991987	8.580380887	1415.9	2407.1	DSCN7212.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\31-03-2020\Audios\DSCN7212.wav	8.2910	Ramphastos sulfuratus	Ramphastos sulfuratus		1
9	Spectrogram 1	1	10.143080947	10.331183732	1451.3	2265.5	DSCN7212.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\31-03-2020\Audios\DSCN7212.wav	10.1431	Ramphastos sulfuratus	Ramphastos sulfuratus		1
10	Spectrogram 1	1	10.852083752	11.054655982	3716.8	5097.3	DSCN7212.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\31-03-2020\Audios\DSCN7212.wav	10.8521	Focal	Pteroglossus torquatus		
11	Spectrogram 1	1	11.358514327	11.590025447	1522.1	2371.7	DSCN7212.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\31-03-2020\Audios\DSCN7212.wav	11.3585	Ramphastos sulfuratus	Ramphastos sulfuratus		1
12	Spectrogram 1	1	11.937292127	12.168803247	1557.5	2300.9	DSCN7212.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\31-03-2020\Audios\DSCN7212.wav	11.9373	Ramphastos sulfuratus	Ramphastos sulfuratus		1
13	Spectrogram 1	1	12.631825487	12.805458827	1451.3	2477.9	DSCN7212.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\31-03-2020\Audios\DSCN7212.wav	12.6318	Ramphastos sulfuratus	Ramphastos sulfuratus		1
14	Spectrogram 1	1	14.700956123	14.975875578	4566.4	5946.9	DSCN7212.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\31-03-2020\Audios\DSCN7212.wav	14.7010	Focal	Pteroglossus torquatus		1
15	Spectrogram 1	1	15.569122823	15.872981168	1451.3	2300.9	DSCN7212.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\31-03-2020\Audios\DSCN7212.wav	15.5691	Ramphastos sulfuratus	Ramphastos sulfuratus		1
