Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Vocalization	Song
1	Spectrogram 1	1	1.890768560	2.652938832	2724.8	3102.1	Procnias-tricarunculatus-331004.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-331004.wav	1.8908	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	1
2	Spectrogram 1	1	4.338507703	4.866164045	2724.8	3144.0	Procnias-tricarunculatus-331004.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-331004.wav	4.3385	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	1
3	Spectrogram 1	1	6.515090115	6.903503811	2745.8	3123.1	Procnias-tricarunculatus-331004.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-331004.wav	6.5151	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	1
4	Spectrogram 1	1	13.557836572	13.953578829	1089.9	1425.3	Procnias-tricarunculatus-331004.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-331004.wav	13.5578	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	1
5	Spectrogram 1	1	22.808887219	23.233943717	2682.9	3144.0	Procnias-tricarunculatus-331004.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-331004.wav	22.8089	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	2
6	Spectrogram 1	1	25.227312121	25.754968464	2682.9	3060.2	Procnias-tricarunculatus-331004.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-331004.wav	25.2273	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	2
7	Spectrogram 1	1	27.308623249	27.748336868	2724.8	3102.1	Procnias-tricarunculatus-331004.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-331004.wav	27.3086	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	2
8	Spectrogram 1	1	34.439493226	34.981806689	964.2	1467.2	Procnias-tricarunculatus-331004.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-331004.wav	34.4395	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	
