Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Vocalization	Song
1	Spectrogram 1	1	0.092772455	0.301510479	1257.6	1886.4	Ramphastos-sulfuratus-166433.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-166433.wav	0.0928	Ramphastos sulfuratus	Ramphastos sulfuratus		1
2	Spectrogram 1	1	0.811758982	1.066883233	1343.7	1894.9	Ramphastos-sulfuratus-166433.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-166433.wav	0.8118	Ramphastos sulfuratus	Ramphastos sulfuratus		1
3	Spectrogram 1	1	1.472762724	1.693097305	1309.2	1826.0	Ramphastos-sulfuratus-166433.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-166433.wav	1.4728	Ramphastos sulfuratus	Ramphastos sulfuratus		1
4	Spectrogram 1	1	2.064187125	2.261328592	1274.8	1791.6	Ramphastos-sulfuratus-166433.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-166433.wav	2.0642	Ramphastos sulfuratus	Ramphastos sulfuratus		1
5	Spectrogram 1	1	2.829559879	3.003508233	1205.9	1791.6	Ramphastos-sulfuratus-166433.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-166433.wav	2.8296	Ramphastos sulfuratus	Ramphastos sulfuratus		1
6	Spectrogram 1	1	3.571739520	3.745687873	1274.8	1757.1	Ramphastos-sulfuratus-166433.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-166433.wav	3.5717	Ramphastos sulfuratus	Ramphastos sulfuratus		1
7	Spectrogram 1	1	4.279129490	4.522657184	1240.3	1963.8	Ramphastos-sulfuratus-166433.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-166433.wav	4.2791	Ramphastos sulfuratus	Ramphastos sulfuratus		1
8	Spectrogram 1	1	5.021309130	5.206854040	1205.9	1826.0	Ramphastos-sulfuratus-166433.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-166433.wav	5.0213	Ramphastos sulfuratus	Ramphastos sulfuratus		1
9	Spectrogram 1	1	5.705505986	5.972226795	1309.2	1688.2	Ramphastos-sulfuratus-166433.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-166433.wav	5.7055	Ramphastos sulfuratus	Ramphastos sulfuratus		1
10	Spectrogram 1	1	6.447685627	6.668020208	1309.2	1722.7	Ramphastos-sulfuratus-166433.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-166433.wav	6.4477	Ramphastos sulfuratus	Ramphastos sulfuratus		1
11	Spectrogram 1	1	7.189865267	7.421796405	1274.8	1722.7	Ramphastos-sulfuratus-166433.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-166433.wav	7.1899	Ramphastos sulfuratus	Ramphastos sulfuratus		1
12	Spectrogram 1	1	7.932044908	8.105993261	1274.8	1791.6	Ramphastos-sulfuratus-166433.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-166433.wav	7.9320	Ramphastos sulfuratus	Ramphastos sulfuratus		1
13	Spectrogram 1	1	8.511872752	8.755400446	1378.1	1894.9	Ramphastos-sulfuratus-166433.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-166433.wav	8.5119	Ramphastos sulfuratus	Ramphastos sulfuratus		1
14	Spectrogram 1	1	9.254052392	9.509176644	1378.1	1929.4	Ramphastos-sulfuratus-166433.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-166433.wav	9.2541	Ramphastos sulfuratus	Ramphastos sulfuratus		1
15	Spectrogram 1	1	10.007828590	10.216566614	1343.7	1963.8	Ramphastos-sulfuratus-166433.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-166433.wav	10.0078	Ramphastos sulfuratus	Ramphastos sulfuratus		1
16	Spectrogram 1	1	10.763769364	10.937717717	1309.2	1894.9	Ramphastos-sulfuratus-166433.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-166433.wav	10.7638	Ramphastos sulfuratus	Ramphastos sulfuratus		1
17	Spectrogram 1	1	11.505949004	11.691493914	1240.3	1757.1	Ramphastos-sulfuratus-166433.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-166433.wav	11.5059	Ramphastos sulfuratus	Ramphastos sulfuratus		1
