Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Vocalization	Song
1	Spectrogram 1	1	2.304307342	2.664845225	1960.0	2531.7	Procnias-tricarunculatus-434352.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434352.wav	2.3043	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	1
3	Spectrogram 1	1	2.758898586	3.103760910	1143.3	1878.3	Procnias-tricarunculatus-434352.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434352.wav	2.7589	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	1
4	Spectrogram 1	1	3.479974353	3.856187797	1388.3	2286.7	Procnias-tricarunculatus-434352.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434352.wav	3.4800	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	1
5	Spectrogram 1	1	3.981592278	4.248076800	1265.8	2450.0	Procnias-tricarunculatus-434352.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434352.wav	3.9816	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	1
6	Spectrogram 1	1	4.859423646	5.392392691	1510.8	2041.7	Procnias-tricarunculatus-434352.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434352.wav	4.8594	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	1
7	Spectrogram 1	1	6.552384142	7.273459909	1470.0	2531.7	Procnias-tricarunculatus-434352.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434352.wav	6.5524	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	2
8	Spectrogram 1	1	7.963184556	8.370749120	1470.0	2409.2	Procnias-tricarunculatus-434352.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434352.wav	7.9632	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	2
10	Spectrogram 1	1	8.574531402	8.888042605	1510.8	2000.8	Procnias-tricarunculatus-434352.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434352.wav	8.5745	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	2
11	Spectrogram 1	1	9.358309409	9.703171732	1878.3	2572.5	Procnias-tricarunculatus-434352.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434352.wav	9.3583	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	2
12	Spectrogram 1	1	12.462070318	12.932337123	1919.2	2490.8	Procnias-tricarunculatus-434352.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434352.wav	12.4621	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	3
13	Spectrogram 1	1	14.202057495	14.609622059	1551.7	1878.3	Procnias-tricarunculatus-434352.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-434352.wav	14.2021	Procnias tricarunculatus	Procnias tricarunculatus	Nicaraguan	3
