Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Vocalization	Song
1	Spectrogram 1	1	3.711392708	3.829841411	1257.6	2766.7	Procnias-tricarunculatus-137810.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-137810.wav	3.7114	Procnias tricarunculatus	Procnias tricarunculatus	Talamancan	1
2	Spectrogram 1	1	3.938419389	4.271549953	1173.8	3940.5	Procnias-tricarunculatus-137810.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-137810.wav	3.9384	Procnias tricarunculatus	Procnias tricarunculatus	Talamancan	1
3	Spectrogram 1	1	4.857841123	5.220783275	1383.4	3814.7	Procnias-tricarunculatus-137810.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-137810.wav	4.8578	Procnias tricarunculatus	Procnias tricarunculatus	Talamancan	1
4	Spectrogram 1	1	17.550149559	17.648856812	1341.4	2599.0	Procnias-tricarunculatus-137810.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-137810.wav	17.5501	Procnias tricarunculatus	Procnias tricarunculatus	Talamancan	2
5	Spectrogram 1	1	17.777176241	18.175178821	1425.3	3353.6	Procnias-tricarunculatus-137810.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-137810.wav	17.7772	Procnias tricarunculatus	Procnias tricarunculatus	Talamancan	2
6	Spectrogram 1	1	18.714895143	19.068574889	1509.1	3730.9	Procnias-tricarunculatus-137810.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-137810.wav	18.7149	Procnias tricarunculatus	Procnias tricarunculatus	Talamancan	2
7	Spectrogram 1	1	19.919123628	20.136279584	1802.6	5030.4	Procnias-tricarunculatus-137810.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-137810.wav	19.9191	Procnias tricarunculatus	Procnias tricarunculatus	Talamancan	2
8	Spectrogram 1	1	21.113481388	21.329983687	1718.7	4150.1	Procnias-tricarunculatus-137810.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-137810.wav	21.1135	Procnias tricarunculatus	Procnias tricarunculatus	Talamanca	2
9	Spectrogram 1	1	21.962363762	22.167542502	1718.7	4317.8	Procnias-tricarunculatus-137810.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-137810.wav	21.9624	Procnias tricarunculatus	Procnias tricarunculatus	Talamanca	2
10	Spectrogram 1	1	22.475641477	22.697996417	1676.8	4485.5	Procnias-tricarunculatus-137810.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-137810.wav	22.4756	Procnias tricarunculatus	Procnias tricarunculatus	Talamanca	2
