Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Vocalization	Song
1	Spectrogram 1	1	12.160300000	12.312094864	1509.125	2682.890	Campan_0006.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\09-09-2020\Audios\Campan_0006.wav	12.1603	Focal	Ramphastos sulfuratus		1
2	Spectrogram 1	1	12.803700000	13.100261620	1513.900	2431.369	Campan_0006.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\09-09-2020\Audios\Campan_0006.wav	12.8037	Focal	Ramphastos sulfuratus		1
3	Spectrogram 1	1	13.479300000	13.727578018	1316.400	2431.369	Campan_0006.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\09-09-2020\Audios\Campan_0006.wav	13.4793	Focal	Ramphastos sulfuratus		1
4	Spectrogram 1	1	14.306639308	14.508660573	1383.365	2305.608	Campan_0006.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\09-09-2020\Audios\Campan_0006.wav	14.3066	Focal	Ramphastos sulfuratus		1
5	Spectrogram 1	1	14.862570072	15.055590502	1215.684	2012.167	Campan_0006.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\09-09-2020\Audios\Campan_0006.wav	14.8626	Focal	Ramphastos sulfuratus		1
7	Spectrogram 1	1	23.901083273	24.110188739	1053.100	2137.928	Campan_0006.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\09-09-2020\Audios\Campan_0006.wav	23.9011	Focal	Procnias tricarunculatus	Babbling	2
8	Spectrogram 1	1	30.812767614	30.989703008	1634.886	2179.848	Campan_0006.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\09-09-2020\Audios\Campan_0006.wav	30.8128	Focal	Ramphastos sulfuratus	Aggressive	3
9	Spectrogram 1	1	31.512466673	31.689402067	1448.100	3772.814	Campan_0006.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\09-09-2020\Audios\Campan_0006.wav	31.5125	Focal	Ramphastos sulfuratus		3
