Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Vocalization	Song
1	Spectrogram 1	1	2.709676509	3.058649998	1048.0	1760.6	Procnias-tricarunculatus-500097.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-500097.wav	2.7097	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	1
2	Spectrogram 1	1	3.838708387	4.310848991	4485.5	4820.8	Procnias-tricarunculatus-500097.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-500097.wav	3.8387	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	1
3	Spectrogram 1	1	4.824045300	5.152490937	1509.1	2221.8	Procnias-tricarunculatus-500097.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-500097.wav	4.8240	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	1
4	Spectrogram 1	1	40.229968244	40.743164553	4443.5	4820.8	Procnias-tricarunculatus-500097.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-500097.wav	40.2300	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	2
5	Spectrogram 1	1	65.674598843	66.085155890	4485.5	4820.8	Procnias-tricarunculatus-500097.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-500097.wav	65.6746	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	3
6	Spectrogram 1	1	66.700991460	67.008909245	1593.0	2473.3	Procnias-tricarunculatus-500097.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-500097.wav	66.7010	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	3
7	Spectrogram 1	1	67.604216963	67.953190453	1844.5	2892.5	Procnias-tricarunculatus-500097.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-500097.wav	67.6042	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	3
8	Spectrogram 1	1	69.903336425	70.252309915	2096.0	3060.2	Procnias-tricarunculatus-500097.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Campana Marcelo\Procnias-tricarunculatus-500097.wav	69.9033	Procnias tricarunculatus	Procnias tricarunculatus	Monteverde	3
