Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Vocalization	Song
1	Spectrogram 1	1	3.764300000	4.016947758	1174.825	2433.566	INVEST_0147.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\22-04-2020\Audios\INVEST_0147.wav	3.7643	Focal	Ramphastos sulfutaratus		1
2	Spectrogram 1	1	4.320000000	4.571652633	1216.783	2097.902	INVEST_0147.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\22-04-2020\Audios\INVEST_0147.wav	4.3200	Focal	Ramphastos sulfutaratus		1
3	Spectrogram 1	1	4.823300000	5.053981579	1342.657	2139.860	INVEST_0147.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\22-04-2020\Audios\INVEST_0147.wav	4.8233	Focal	Ramphastos sulfutaratus		1
4	Spectrogram 1	1	5.326600000	5.504853948	1226.000	2475.524	INVEST_0147.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\22-04-2020\Audios\INVEST_0147.wav	5.3266	Focal	Ramphastos sulfutaratus		1
5	Spectrogram 1	1	5.997700000	6.228381580	1258.741	2433.566	INVEST_0147.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\22-04-2020\Audios\INVEST_0147.wav	5.9977	Focal	Ramphastos sulfutaratus		1
6	Spectrogram 1	1	16.145400000	16.385756533	4531.469	5748.252	INVEST_0147.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\22-04-2020\Audios\INVEST_0147.wav	16.1454	Focal	Pteroglossus torquatus		2
7	Spectrogram 1	1	21.198700000	21.343785910	4489.510	6000.000	INVEST_0147.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\22-04-2020\Audios\INVEST_0147.wav	21.1987	Focal	Pterpglossus torquatus		2
8	Spectrogram 1	1	22.331100000	22.541616393	4069.930	6041.958	INVEST_0147.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\22-04-2020\Audios\INVEST_0147.wav	22.3311	Focal	Pteroglossus torquatus		3
