Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Vocalization	Song
1	Spectrogram 1	1	0.000000000	0.367922803	2737.643	6342.205	INVEST_0112.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0112.wav	0.0000	Focal	Pteroglossus torquatus		1
2	Spectrogram 1	1	0.607000000	1.057945229	3787.072	5703.422	INVEST_0112.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0112.wav	0.6070	Focal	Pteroglossus torquatus		1
3	Spectrogram 1	1	1.250937530	1.595613087	2820.800	5429.658	INVEST_0112.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0112.wav	1.2509	Focal	Pteroglossus torquatus		1
4	Spectrogram 1	1	1.907800000	2.254680945	2957.300	6656.100	INVEST_0112.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0112.wav	1.9078	Focal	Pteroglossus torquatus		1
5	Spectrogram 1	1	4.839000000	5.099160708	1319.400	2326.996	INVEST_0112.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0112.wav	4.8390	Focal	Ramphastos sulfuratus		2
6	Spectrogram 1	1	5.580162511	5.813180286	1321.100	2098.859	INVEST_0112.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0112.wav	5.5802	Focal	Ramphastos sulfuratus		2
7	Spectrogram 1	1	6.157100000	6.377328584	1422.700	2235.741	INVEST_0112.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0112.wav	6.1571	Focal	Ramphastos sulfuratus		2
8	Spectrogram 1	1	6.781500000	7.041660709	1323.194	1961.977	INVEST_0112.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0112.wav	6.7815	Focal	Ramphastos sulfuratus		2
9	Spectrogram 1	1	7.353900000	7.596716662	1046.400	2007.605	INVEST_0112.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0112.wav	7.3539	Focal	Ramphastos sulfuratus		2
11	Spectrogram 1	1	8.646000000	8.949520827	1277.567	2190.114	INVEST_0112.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0112.wav	8.6460	Focal	Ramphastos sulfuratus		2
12	Spectrogram 1	1	9.261700000	9.487172614	1277.567	2326.996	INVEST_0112.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0112.wav	9.2617	Focal	Ramphastos sulfuratus		2
13	Spectrogram 1	1	16.403244006	16.684957134	4015.209	6296.578	INVEST_0112.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0112.wav	16.4032	Focal	Pteroglossus torquatus		3
14	Spectrogram 1	1	17.114561425	17.507012415	4380.228	6387.833	INVEST_0112.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0112.wav	17.1146	Focal	Pteroglossus torquatus		3
