"selec","View","Channel","start","end","bottom.freq","top.freq","sound.files","Begin Path","File Offset (s)","Recording","Model species","Vocalization","selec.file","Song","source","species.vocalization"
1,"Spectrogram 1",1,1.6232,1.926814673,3.787072,5.429658,"INVEST_0107.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0107.wav",1.6232,"Focal","Pteroglossus torquatus","Pteroglossus torquatus","INVEST_0107.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-P.torquatus"
2,"Spectrogram 1",1,4.7294,4.939594773,1.414449,2.78327,"INVEST_0107.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0107.wav",4.7294,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0107.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
3,"Spectrogram 1",1,13.685484218,14.109626733,2.235741,6.068441,"INVEST_0107.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0107.wav",13.6855,"Focal","Psarocolius montezuma","Psarocolius montezuma","INVEST_0107.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-P.montezuma"
1,"Spectrogram 1",1,14.329658447,14.627487924,1.186312,2.053232,"INVEST_0115.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0115.wav",14.3297,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0115.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
2,"Spectrogram 1",1,15.020622834,15.282712774,1.368821,2.190114,"INVEST_0115.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0115.wav",15.0206,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0115.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
3,"Spectrogram 1",1,15.640108147,15.914111266,1.095057,2.007605,"INVEST_0115.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0115.wav",15.6401,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0115.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
4,"Spectrogram 1",1,16.3839,16.754551148,1.226,1.961977,"INVEST_0115.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0115.wav",16.3839,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0115.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
5,"Spectrogram 1",1,17.7823,18.102407809,1.277567,2.007605,"INVEST_0115.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0115.wav",17.7823,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0115.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
6,"Spectrogram 1",1,19.035364189,19.273627771,1.231939,2.098859,"INVEST_0115.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0115.wav",19.0354,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0115.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
7,"Spectrogram 1",1,19.583370427,19.845460367,1.277567,2.190114,"INVEST_0115.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\20-04-2020\Audios\INVEST_0115.wav",19.5834,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0115.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
