"selec","View","Channel","start","end","bottom.freq","top.freq","sound.files","Begin Path","File Offset (s)","Recording","Model species","Vocalization","selec.file","Song","source","species.vocalization"
2,"Spectrogram 1",1,12.422444835,12.832619901,1.2776,2.0076,"Grab2-4.7.2020.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\04-07-2020\Conversion\Grab2-4.7.2020.wav",12.4224,NA,"Procnias tricarunculatus","babbling","Grab2-4.7.2020.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-babbling"
3,"Spectrogram 1",1,13.164666382,13.613905739,1.3688,2.3726,"Grab2-4.7.2020.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\04-07-2020\Conversion\Grab2-4.7.2020.wav",13.1647,NA,"Procnias tricarunculatus","babbling","Grab2-4.7.2020.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-babbling"
4,"Spectrogram 1",1,13.906887929,14.414723724,1.7795,2.692,"Grab2-4.7.2020.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\04-07-2020\Conversion\Grab2-4.7.2020.wav",13.9069,NA,"Procnias tricarunculatus","babbling","Grab2-4.7.2020.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-babbling"
5,"Spectrogram 1",1,14.707705913,15.098348833,1.7338,2.6008,"Grab2-4.7.2020.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\04-07-2020\Conversion\Grab2-4.7.2020.wav",14.7077,NA,"Procnias tricarunculatus","babbling","Grab2-4.7.2020.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-babbling"
6,"Spectrogram 1",1,38.221205008,38.533719343,1.2319,2.0532,"Grab2-4.7.2020.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\04-07-2020\Conversion\Grab2-4.7.2020.wav",38.2212,NA,"Procnias tricarunculatus","babbling","Grab2-4.7.2020.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-babbling"
7,"Spectrogram 1",1,38.963426554,39.295473036,1.4144,2.3726,"Grab2-4.7.2020.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\04-07-2020\Conversion\Grab2-4.7.2020.wav",38.9634,NA,"Procnias tricarunculatus","babbling","Grab2-4.7.2020.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-babbling"
8,"Spectrogram 1",1,39.744712393,39.998630291,1.3232,2.4183,"Grab2-4.7.2020.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\04-07-2020\Conversion\Grab2-4.7.2020.wav",39.7447,NA,"Procnias tricarunculatus","babbling","Grab2-4.7.2020.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-babbling"
9,"Spectrogram 1",1,40.48693394,40.877576859,1.597,2.5551,"Grab2-4.7.2020.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\04-07-2020\Conversion\Grab2-4.7.2020.wav",40.4869,NA,"Procnias tricarunculatus","babbling","Grab2-4.7.2020.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-babbling"
1,"Spectrogram 1",1,2.8723,3.193431131,4.024335,5.952662,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",2.8723,"Focal","Pteroglossus torquatus","Pteroglossus torquatus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-P.torquatus"
2,"Spectrogram 1",1,3.4254,3.728690512,4.024335,5.4077,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",3.4254,"Focal","Pteroglossus torquatus","Pteroglossus torquatus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-P.torquatus"
