path,filename,X1,fold,target,category,pred
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_12.wav,INVEST_0094.wav_12.wav,34,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_13.wav,INVEST_0094.wav_13.wav,35,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_14.wav,INVEST_0094.wav_14.wav,36,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_15.wav,INVEST_0094.wav_15.wav,37,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_16.wav,INVEST_0094.wav_16.wav,38,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_17.wav,INVEST_0094.wav_17.wav,39,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_18.wav,INVEST_0094.wav_18.wav,40,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_19.wav,INVEST_0094.wav_19.wav,41,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_20.wav,INVEST_0094.wav_20.wav,42,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_21.wav,INVEST_0094.wav_21.wav,43,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_22.wav,INVEST_0094.wav_22.wav,44,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_23.wav,INVEST_0094.wav_23.wav,45,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_24.wav,INVEST_0094.wav_24.wav,46,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_25.wav,INVEST_0094.wav_25.wav,47,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_26.wav,INVEST_0094.wav_26.wav,48,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_27.wav,INVEST_0094.wav_27.wav,49,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_28.wav,INVEST_0094.wav_28.wav,50,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_29.wav,INVEST_0094.wav_29.wav,51,mimetic,7,R.sulfuratus,R.sulfuratus
