Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Song
1	Spectrogram 1	2	2.210740381	2.480342867	1067.4	2199.5	Campan_0039_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0039_PTT_RS.wav	2.2107	Focal	Procnias tricarunculatus	1
2	Spectrogram 1	2	2.979107465	3.167829205	1779.0	2749.3	Campan_0039_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0039_PTT_RS.wav	2.9791	Focal	Procnias tricarunculatus	1
3	Spectrogram 1	2	3.302630448	3.558752809	4237.2	4981.1	Campan_0039_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0039_PTT_RS.wav	3.3026	Focal	Procnias tricarunculatus	1
4	Spectrogram 1	2	4.111437904	4.313639769	1746.6	3040.4	Campan_0039_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0039_PTT_RS.wav	4.1114	Focal	Procnias tricarunculatus	2
5	Spectrogram 1	2	5.028086355	5.243768344	1681.9	3816.7	Campan_0039_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0039_PTT_RS.wav	5.0281	Focal	Procnias tricarunculatus	2
6	Spectrogram 1	2	5.850373936	6.066055925	2005.4	2975.7	Campan_0039_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0039_PTT_RS.wav	5.8504	Focal	Procnias tricarunculatus	2
7	Spectrogram 1	2	21.256035595	21.498677832	1196.8	2102.4	Campan_0039_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0039_PTT_RS.wav	21.2560	Focal	Procnias tricarunculatus	3
8	Spectrogram 1	2	21.957002057	22.172684046	1487.9	2102.4	Campan_0039_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0039_PTT_RS.wav	21.9570	Focal	Ramphastos sulfuratus	4
9	Spectrogram 1	2	22.577087774	22.779289638	1455.5	2231.8	Campan_0039_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0039_PTT_RS.wav	22.5771	Focal	Ramphastos sulfuratus	5
10	Spectrogram 1	2	23.197173491	23.385895231	1455.5	2361.2	Campan_0039_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0039_PTT_RS.wav	23.1972	Focal	Ramphastos sulfuratus	6
