Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Song
1	Spectrogram 1	1	0.148081028	0.423088652	1298.5	2283.6	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	0.1481	Model	Ramphastos sulfuratus	1
2	Spectrogram 1	1	0.740405142	1.025989982	1298.5	2440.4	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	0.7404	Model	Ramphastos sulfuratus	2
3	Spectrogram 1	1	1.332729255	1.618314095	1320.9	2373.2	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	1.3327	Model	Ramphastos sulfuratus	3
4	Spectrogram 1	1	1.946207801	2.200060992	1320.9	2149.3	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	1.9462	Model	Ramphastos sulfuratus	4
5	Spectrogram 1	1	2.549109131	2.781807890	1298.5	2306.0	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	2.5491	Model	Ramphastos sulfuratus	5
7	Spectrogram 1	1	3.152010460	3.427018084	1365.7	2306.0	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	3.1520	Model	Ramphastos sulfuratus	6
8	Spectrogram 1	1	3.797220655	3.987610549	1388.1	2306.0	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	3.7972	Model	Ramphastos sulfuratus	7
9	Spectrogram 1	1	4.410699201	4.601089095	1365.7	2283.6	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	4.4107	Model	Ramphastos sulfuratus	8
10	Spectrogram 1	1	5.034754964	5.235722073	1432.9	2350.8	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	5.0348	Model	Ramphastos sulfuratus	9
11	Spectrogram 1	1	5.637656293	5.796314538	1343.3	2350.8	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	5.6377	Model	Ramphastos sulfuratus	10
12	Spectrogram 1	1	6.832881736	7.012694414	1410.5	2418.0	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	6.8329	Model	Ramphastos sulfuratus	11
13	Spectrogram 1	1	7.404051417	7.657904608	1388.1	2283.6	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	7.4041	Model	Ramphastos sulfuratus	12
14	Spectrogram 1	1	8.049261612	8.250228722	1343.3	2373.2	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	8.0493	Model	Ramphastos sulfuratus	13
15	Spectrogram 1	1	8.652162942	8.874284484	1455.3	2306.0	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	8.6522	Model	Ramphastos sulfuratus	14
16	Spectrogram 1	1	9.265641488	9.456031381	1455.3	2395.6	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	9.2656	Model	Ramphastos sulfuratus	15
17	Spectrogram 1	1	9.868542817	10.080087143	1432.9	2261.2	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	9.8685	Model	Ramphastos sulfuratus	16
18	Spectrogram 1	1	10.471444147	10.682988473	1432.9	2328.4	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	10.4714	Model	Ramphastos sulfuratus	17
19	Spectrogram 1	1	11.074345477	11.285889803	1410.5	2283.6	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	11.0743	Model	Ramphastos sulfuratus	18
20	Spectrogram 1	1	11.677246806	11.878213916	1432.9	2306.0	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	11.6772	Model	Ramphastos sulfuratus	19
21	Spectrogram 1	1	12.254670024	12.455637133	1432.9	2350.8	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	12.2547	Model	Ramphastos sulfuratus	20
22	Spectrogram 1	1	12.857571353	12.995075165	1343.3	2306.0	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	12.8576	Model	Ramphastos sulfuratus	21
23	Spectrogram 1	1	13.418163818	13.619130928	1320.9	2418.0	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	13.4182	Model	Ramphastos sulfuratus	22
24	Spectrogram 1	1	13.957601849	14.116260094	1365.7	2238.9	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	13.9576	Model	Ramphastos sulfuratus	23
25	Spectrogram 1	1	14.549925963	14.750893073	1388.1	2261.2	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	14.5499	Model	Ramphastos sulfuratus	24
26	Spectrogram 1	1	15.226867807	15.417257700	1432.9	2216.5	Ramphastos-sulfuratus-137713_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-137713_.wav	15.2269	Model	Ramphastos sulfuratus	25
