Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Vocalization
1	Spectrogram 1	1	0.667609267	1.023667543	3989.2	6259.5	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	0.6676	Focal	Pteroglossus torquatus	1
2	Spectrogram 1	1	1.281809793	1.539952043	3989.2	6389.2	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	1.2818	Focal	Pteroglossus torquatus	2
3	Spectrogram 1	1	2.029532173	2.332181707	3956.8	6129.7	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	2.0295	Focal	Pteroglossus torquatus	3
4	Spectrogram 1	1	3.266834681	3.551681302	3859.5	6000.0	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	3.2668	Focal	Pteroglossus torquatus	4
5	Spectrogram 1	1	4.237093483	4.513038647	3891.9	5967.6	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	4.2371	Focal	Pteroglossus torquatus	5
6	Spectrogram 1	1	4.904702750	5.198450828	4216.2	6064.9	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	4.9047	Focal	Pteroglossus torquatus	6
7	Spectrogram 1	1	5.661326587	5.910567380	3924.3	6389.2	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	5.6613	Focal	Pteroglossus torquatus	7
8	Spectrogram 1	1	6.257724199	6.622683932	3989.2	6227.0	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	6.2577	Focal	Pteroglossus torquatus	8
9	Spectrogram 1	1	14.979584111	15.228824904	1135.1	2983.8	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	14.9796	Focal	Procnias  tricarunculatus	9
10	Spectrogram 1	1	15.807419603	16.110069137	973.0	3535.1	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	15.8074	Focal	Procnias  tricarunculatus	9
11	Spectrogram 1	1	16.581846353	16.831087146	1362.2	2302.7	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	16.5818	Focal	Ramphastos sulfuratus	10
12	Spectrogram 1	1	17.231652706	17.507597870	1200.0	2562.2	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	17.2317	Focal	Ramphastos sulfuratus	11
13	Spectrogram 1	1	17.801345948	18.050586741	1329.7	2432.4	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	17.8013	Focal	Ramphastos sulfuratus	12
14	Spectrogram 1	1	18.388281918	18.610818340	1297.3	2140.5	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	18.3883	Focal	Ramphastos sulfuratus	13
15	Spectrogram 1	1	19.064792642	19.322934892	1135.1	2270.3	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	19.0648	Focal	Ramphastos sulfuratus	14
16	Spectrogram 1	1	19.652288797	19.928233961	1232.4	2075.7	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	19.6523	Focal	Ramphastos sulfuratus	15
