Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Song
1	Spectrogram 1	1	0.517500000	0.781737417	1337.200	2252.200	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	0.5175	Model	Ramphastos sulfuratus	1
2	Spectrogram 1	1	1.266100000	1.574376988	1302.100	2322.600	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	1.2661	Model	Ramphastos sulfuratus	2
3	Spectrogram 1	1	1.970800000	2.213017632	1302.100	2357.800	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	1.9708	Model	Ramphastos sulfuratus	3
4	Spectrogram 1	1	2.697400000	2.994667095	1337.200	2181.800	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	2.6974	Model	Ramphastos sulfuratus	4
5	Spectrogram 1	1	3.402100000	3.666337418	1442.800	2322.600	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	3.4021	Model	Ramphastos sulfuratus	5
6	Spectrogram 1	1	4.051600000	4.337857202	1372.400	2252.200	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	4.0516	Model	Ramphastos sulfuratus	6
7	Spectrogram 1	1	4.756300000	4.976497848	1407.600	2357.800	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	4.7563	Model	Ramphastos sulfuratus	7
8	Spectrogram 1	1	5.460900000	5.714127525	1478.000	2181.800	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	5.4609	Model	Ramphastos sulfuratus	8
9	Spectrogram 1	1	6.143500000	6.407737417	1478.000	2357.800	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	6.1435	Model	Ramphastos sulfuratus	9
10	Spectrogram 1	1	6.826100000	7.090337418	1478.000	2357.800	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	6.8261	Model	Ramphastos sulfuratus	10
11	Spectrogram 1	1	7.497700000	7.750927525	1513.200	2357.800	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	7.4977	Model	Ramphastos sulfuratus	11
12	Spectrogram 1	1	8.169300000	8.411517633	1442.800	2322.600	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	8.1693	Model	Ramphastos sulfuratus	12
13	Spectrogram 1	1	8.852000000	9.116237417	1513.200	2357.800	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	8.8520	Model	Ramphastos sulfuratus	13
14	Spectrogram 1	1	9.578600000	9.765768171	1478.000	2463.300	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	9.5786	Model	Ramphastos sulfuratus	14
15	Spectrogram 1	1	10.294200000	10.591467094	1548.400	2217.000	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	10.2942	Model	Ramphastos sulfuratus	15
16	Spectrogram 1	1	10.976900000	11.197097848	1583.600	2181.800	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	10.9769	Model	Ramphastos sulfuratus	16
17	Spectrogram 1	1	11.659500000	11.934747310	1513.200	2322.600	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	11.6595	Model	Ramphastos sulfuratus	17
18	Spectrogram 1	1	12.375100000	12.606307740	1513.200	2357.800	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	12.3751	Model	Ramphastos sulfuratus	18
19	Spectrogram 1	1	13.003800000	13.290057202	1513.200	2287.400	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	13.0038	Model	Ramphastos sulfuratus	19
20	Spectrogram 1	1	13.697400000	13.928607740	1583.600	2287.400	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	13.6974	Model	Ramphastos sulfuratus	20
21	Spectrogram 1	1	14.347000000	14.567197848	1478.000	2428.200	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	14.3470	Model	Ramphastos sulfuratus	21
22	Spectrogram 1	1	15.018600000	15.249807741	1583.600	2357.800	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	15.0186	Model	Ramphastos sulfuratus	22
23	Spectrogram 1	1	15.646100000	15.899327525	1583.600	2322.600	Ramphastos-sulfuratus-332528_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-332528_.wav	15.6461	Model	Ramphastos sulfuratus	23
