Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Song
1	Spectrogram 1	1	0.410194814	0.632871999	1198.3	1975.6	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	0.4102	Model	Ramphastos sulfuratus	1
2	Spectrogram 1	1	1.089946221	1.347782962	1133.5	2202.3	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	1.0899	Model	Ramphastos sulfuratus	2
3	Spectrogram 1	1	1.769697628	2.027534369	1133.5	2137.5	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	1.7697	Model	Ramphastos sulfuratus	3
4	Spectrogram 1	1	2.449449035	2.695565924	1165.9	2105.1	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	2.4494	Model	Ramphastos sulfuratus	4
5	Spectrogram 1	1	3.094040886	3.328437923	1165.9	2461.4	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	3.0940	Model	Ramphastos sulfuratus	5
6	Spectrogram 1	1	3.797231997	4.031629034	1165.9	1813.6	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	3.7972	Model	Ramphastos sulfuratus	6
7	Spectrogram 1	1	4.476983404	4.723100292	1101.1	2008.0	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	4.4770	Model	Ramphastos sulfuratus	7
8	Spectrogram 1	1	5.168454662	5.367692144	1101.1	2105.1	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	5.1685	Model	Ramphastos sulfuratus	8
9	Spectrogram 1	1	5.824766365	6.035723699	1165.9	2072.7	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	5.8248	Model	Ramphastos sulfuratus	9
10	Spectrogram 1	1	6.481078069	6.727194957	1133.5	2105.1	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	6.4811	Model	Ramphastos sulfuratus	10
11	Spectrogram 1	1	7.149109624	7.395226512	1101.1	1684.1	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	7.1491	Model	Ramphastos sulfuratus	11
12	Spectrogram 1	1	7.805421327	8.074977919	1101.1	2072.7	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	7.8054	Model	Ramphastos sulfuratus	12
13	Spectrogram 1	1	8.496892585	8.754729326	1068.8	2137.5	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	8.4969	Model	Ramphastos sulfuratus	13
14	Spectrogram 1	1	9.153204288	9.387601325	1198.3	2137.5	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	9.1532	Model	Ramphastos sulfuratus	14
15	Spectrogram 1	1	9.774356436	10.032193177	1165.9	2040.4	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	9.7744	Model	Ramphastos sulfuratus	15
16	Spectrogram 1	1	10.454107843	10.723664435	1133.5	2202.3	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	10.4541	Model	Ramphastos sulfuratus	16
17	Spectrogram 1	1	11.133859250	11.379976138	1198.3	2105.1	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	11.1339	Model	Ramphastos sulfuratus	17
18	Spectrogram 1	1	11.817985663	12.005503292	1165.9	2137.5	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	11.8180	Model	Ramphastos sulfuratus	18
19	Spectrogram 1	1	12.486017217	12.755573810	1101.1	2202.3	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	12.4860	Model	Ramphastos sulfuratus	19
20	Spectrogram 1	1	13.165768624	13.435325217	1230.7	2137.5	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	13.1658	Model	Ramphastos sulfuratus	20
21	Spectrogram 1	1	13.845520031	14.056477364	1230.7	2137.5	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	13.8455	Model	Ramphastos sulfuratus	21
22	Spectrogram 1	1	14.478392031	14.712789067	1165.9	2169.9	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	14.4784	Model	Ramphastos sulfuratusRamphastos sulfuratus	22
23	Spectrogram 1	1	15.122983882	15.392540474	1133.5	2008.0	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	15.1230	Model	Ramphastos sulfuratus	23
24	Spectrogram 1	1	15.791015437	16.025412474	1068.8	2105.1	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	15.7910	Model	Ramphastos sulfuratus	24
25	Spectrogram 1	1	16.459046992	16.716883732	1133.5	2072.7	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	16.4590	Model	Ramphastos sulfuratus	25
26	Spectrogram 1	1	17.103638843	17.384915287	1133.5	2202.3	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	17.1036	Model	Ramphastos sulfuratus	26
27	Spectrogram 1	1	17.759950546	17.994347583	1165.9	2040.4	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	17.7600	Model	Ramphastos sulfuratus	27
28	Spectrogram 1	1	18.439701953	18.638939434	1198.3	2072.7	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	18.4397	Model	Ramphastos sulfuratus	28
29	Spectrogram 1	1	19.084293804	19.318690841	1133.5	1943.2	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	19.0843	Model	Ramphastos sulfuratus	29
30	Spectrogram 1	1	19.752325359	19.963282693	1133.5	1878.4	Ramphastos-sulfuratus-453811_.wav	C:\Users\Pablo\Desktop\Modelo de sp\Models\Ramphastos-sulfuratus-453811_.wav	19.7523	Model	Ramphastos sulfuratus	30
