Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Song
1	Spectrogram 1	1	1.112578528	1.281883956	1115.3	3214.8	Campan_0032_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0032_PTT_RS.wav	1.1126	Focal	Procnias tricarunculatus	1
2	Spectrogram 1	1	1.838173220	2.023602975	1837.0	3542.8	Campan_0032_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0032_PTT_RS.wav	1.8382	Focal	Procnias tricarunculatus	1
3	Spectrogram 1	1	2.160659750	2.499270606	3870.9	5226.8	Campan_0032_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0032_PTT_RS.wav	2.1607	Focal	Procnias tricarunculatus	1
4	Spectrogram 1	1	2.862067952	3.071684197	2033.8	3630.3	Campan_0032_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0032_PTT_RS.wav	2.8621	Focal	Procnias tricarunculatus	2
5	Spectrogram 1	1	3.603786971	3.781154562	1990.1	3499.1	Campan_0032_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0032_PTT_RS.wav	3.6038	Focal	Procnias tricarunculatus	2
6	Spectrogram 1	1	4.990479049	5.143660151	1487.1	2602.4	Campan_0032_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0032_PTT_RS.wav	4.9905	Focal	Ramphastos sulfuratus	3
7	Spectrogram 1	1	5.667700762	5.901503496	1312.2	2230.7	Campan_0032_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0032_PTT_RS.wav	5.6677	Focal	Ramphastos sulfuratus	4
8	Spectrogram 1	1	6.223990026	6.441668433	1465.2	2318.1	Campan_0032_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0032_PTT_RS.wav	6.2240	Focal	Ramphastos sulfuratus	5
9	Spectrogram 1	1	6.836714432	7.102765820	1421.5	2558.7	Campan_0032_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0032_PTT_RS.wav	6.8367	Focal	Ramphastos sulfuratus	6
10	Spectrogram 1	1	7.457501002	7.723552389	1399.6	2493.1	Campan_0032_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0032_PTT_RS.wav	7.4575	Focal	Ramphastos sulfuratus	7
11	Spectrogram 1	1	8.078287572	8.263717327	1399.6	2493.1	Campan_0032_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0032_PTT_RS.wav	8.0783	Focal	Ramphastos sulfuratus	8
12	Spectrogram 1	1	8.638256640	8.888183701	1312.2	2274.4	Campan_0032_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0032_PTT_RS.wav	8.6383	Focal	Ramphastos sulfuratus	9
