Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Song
19	Spectrogram 1	1	24.471675869	24.750635945	1380.5	2300.9	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	24.4717	Focal	Ramphastos sulfuratus	19
20	Spectrogram 1	1	25.118356045	25.486076145	1451.3	2123.9	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	25.1184	Focal	Ramphastos sulfuratus	20
21	Spectrogram 1	1	25.803076232	26.082036307	1415.9	2300.9	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	25.8031	Focal	Ramphastos sulfuratus	21
22	Spectrogram 1	1	30.249376636	30.515656709	1663.7	2442.5	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	30.2494	Focal	Ramphastos sulfuratus	22
23	Spectrogram 1	1	30.883376809	31.327176929	1663.7	2407.1	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	30.8834	Focal	Ramphastos sulfuratus	23
24	Spectrogram 1	1	31.606137005	31.897777085	1557.5	2513.3	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	31.6061	Focal	Ramphastos sulfuratus	24
25	Spectrogram 1	1	32.430337229	32.734657312	1557.5	2407.1	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	32.4303	Focal	Ramphastos sulfuratus	25
26	Spectrogram 1	1	33.102377412	33.508137523	1557.5	2513.3	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	33.1024	Focal	Ramphastos sulfuratus	26
27	Spectrogram 1	1	33.660297564	34.104097685	1486.7	2548.7	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	33.6603	Focal	Ramphastos sulfuratus	27
28	Spectrogram 1	1	34.471817785	34.776137868	1522.1	2159.3	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	34.4718	Focal	Ramphastos sulfuratus	28
29	Spectrogram 1	1	35.257977999	35.460858054	1663.7	2513.3	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	35.2580	Focal	Ramphastos sulfuratus	29
30	Spectrogram 1	1	35.853938161	36.044138213	1592.9	2690.3	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	35.8539	Focal	Ramphastos sulfuratus	30
31	Spectrogram 1	1	36.487938333	36.830298426	1451.3	2336.3	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	36.4879	Focal	Ramphastos sulfuratus	31
32	Spectrogram 1	1	37.071218492	37.362858571	1486.7	2265.5	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	37.0712	Focal	Ramphastos sulfuratus	32
33	Spectrogram 1	1	37.730578671	38.098298771	1345.1	2159.3	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	37.7306	Focal	Ramphastos sulfuratus	33
34	Spectrogram 1	1	39.138059054	39.315579102	1451.3	2017.7	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	39.1381	Focal	Ramphastos sulfuratus	34
35	Spectrogram 1	1	39.746699220	40.127099323	1415.9	2442.5	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	39.7467	Focal	Ramphastos sulfuratus	35
36	Spectrogram 1	1	40.406059399	40.646979465	1345.1	2194.7	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	40.4061	Focal	Ramphastos sulfuratus	36
