Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Song
1	Spectrogram 1	1	10.868782662	11.147742738	1097.3	2088.5	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	10.8688	Focal	Procnias tricarunculatus	1
2	Spectrogram 1	1	11.591542858	11.832462924	1345.1	2371.7	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	11.5915	Focal	Ramphastos sulfuratus	2
3	Spectrogram 1	1	12.200183024	12.466463096	1203.5	2017.7	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	12.2002	Focal	Ramphastos sulfuratus	3
4	Spectrogram 1	1	12.859543203	13.138503279	1168.1	2230.1	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	12.8595	Focal	Ramphastos sulfuratus	4
5	Spectrogram 1	1	13.455503366	13.797863459	1168.1	1982.3	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	13.4555	Focal	Ramphastos sulfuratus	5
6	Spectrogram 1	1	14.064143531	14.355783610	1238.9	1982.3	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	14.0641	Focal	Ramphastos sulfuratus	6
7	Spectrogram 1	1	14.647423690	15.015143790	1309.7	2194.7	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	14.6474	Focal	Ramphastos sulfuratus	7
8	Spectrogram 1	1	15.192663838	15.433583904	1345.1	2230.1	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	15.1927	Focal	Ramphastos sulfuratus	8
9	Spectrogram 1	1	15.864704021	16.181704107	1345.1	2619.5	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	15.8647	Focal	Ramphastos sulfuratus	9
10	Spectrogram 1	1	16.524064200	16.828384283	1486.7	2407.1	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	16.5241	Focal	Ramphastos sulfuratus	10
11	Spectrogram 1	1	17.284864407	17.627224500	1309.7	2300.9	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	17.2849	Focal	Ramphastos sulfuratus	11
12	Spectrogram 1	1	17.918864580	18.210504659	1486.7	2159.3	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	17.9189	Focal	Ramphastos sulfuratus	12
13	Spectrogram 1	1	18.692344790	18.945944859	1628.3	2442.5	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	18.6923	Focal	Ramphastos sulfuratus	13
14	Spectrogram 1	1	19.389744980	19.643345049	1415.9	2265.5	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	19.3897	Focal	Ramphastos sulfuratus	14
15	Spectrogram 1	1	20.023745152	20.340745239	1486.7	2442.5	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	20.0237	Focal	Ramphastos sulfuratus	15
16	Spectrogram 1	1	20.733825346	21.050825432	1345.1	2265.5	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	20.7338	Focal	Ramphastos sulfuratus	16
17	Spectrogram 1	1	23.279755545	23.507995607	1451.3	2230.1	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	23.2798	Focal	Ramphastos sulfuratus	17
18	Spectrogram 1	1	23.913755718	24.218075800	1486.7	2194.7	Campan_0027_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0027_PTT_RS.wav	23.9138	Focal	Ramphastos sulfuratus	18
